"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 28 12:54:43 BDT 2022","Sun Aug 28 12:55:07 BDT 2022","23393","E-commerce portal automation","E-commerce portal checkout","TestRunner.CheckOutTestRunner","TestRunner.CheckOutTestRunner","AddressCheckoutPage","Should give valid signin details,and proceed to Address Page","After logging in signout button should be displayed,and taken to address page containing 'Addresses' heading and add a new address button."
"passed","Sun Aug 28 12:53:50 BDT 2022","Sun Aug 28 12:54:03 BDT 2022","13654","E-commerce portal automation","E-commerce portal order","TestRunner.OrderTestRunner","TestRunner.OrderTestRunner","emptySearch","emptySearch",""
"passed","Sun Aug 28 12:54:36 BDT 2022","Sun Aug 28 12:54:43 BDT 2022","7076","E-commerce portal automation","E-commerce portal checkout","TestRunner.CheckOutTestRunner","TestRunner.CheckOutTestRunner","signInPrompted","Authentication Should be required to proceed to CheckOut Process","After the summary page, if the user is not authenticated or logged in , after clicking Proceed to CheckOut button, should prompt appropriate credentials to log into the account to proceed to the next steps of Checkout.Authentication page must contain sign in button."
"passed","Sun Aug 28 12:53:14 BDT 2022","Sun Aug 28 12:53:19 BDT 2022","4978","E-commerce portal automation","E-commerce portal login","TestRunner.LoginTestRunner","TestRunner.LoginTestRunner","doLoginWithBlankEmail","doLoginWithBlankEmail",""
"passed","Sun Aug 28 12:53:35 BDT 2022","Sun Aug 28 12:53:47 BDT 2022","12099","E-commerce portal automation","E-commerce portal login","TestRunner.LoginTestRunner","TestRunner.LoginTestRunner","doLoginWithValidCreds","doLoginWithValidCreds",""
"passed","Sun Aug 28 12:55:47 BDT 2022","Sun Aug 28 12:55:53 BDT 2022","5873","E-commerce portal automation","E-commerce portal checkout","TestRunner.CheckOutTestRunner","TestRunner.CheckOutTestRunner","orderHistory","Order History","After confirmation when user hits back to orders , the user will be taken to page containing the order history and the details of the order."
"passed","Sun Aug 28 12:53:19 BDT 2022","Sun Aug 28 12:53:23 BDT 2022","4068","E-commerce portal automation","E-commerce portal login","TestRunner.LoginTestRunner","TestRunner.LoginTestRunner","doLoginWithBlankPass","doLoginWithBlankPass",""
"passed","Sun Aug 28 12:55:39 BDT 2022","Sun Aug 28 12:55:47 BDT 2022","8147","E-commerce portal automation","E-commerce portal checkout","TestRunner.CheckOutTestRunner","TestRunner.CheckOutTestRunner","confirmOrder","Confirming order verification","After seeing order summary , when user hits confirm order button, the user will be taken to a page containing Order confirmation and willshow a message of Order being Complete."
"passed","Sun Aug 28 12:52:35 BDT 2022","Sun Aug 28 12:53:02 BDT 2022","27271","E-commerce portal automation","E-commerce portal login","TestRunner.LoginTestRunner","TestRunner.LoginTestRunner","doLoginWithInvalidPass","doLoginWithInvalidPass",""
"passed","Sun Aug 28 12:54:03 BDT 2022","Sun Aug 28 12:54:06 BDT 2022","2443","E-commerce portal automation","E-commerce portal order","TestRunner.OrderTestRunner","TestRunner.OrderTestRunner","InvalidSearchProduct","InvalidSearchProduct",""
"passed","Sun Aug 28 12:55:11 BDT 2022","Sun Aug 28 12:55:18 BDT 2022","7004","E-commerce portal automation","E-commerce portal checkout","TestRunner.CheckOutTestRunner","TestRunner.CheckOutTestRunner","addressUpdated","Address is changed and updated","Address is given a new value in the address input and Save is clicked and address update is verified"
"passed","Sun Aug 28 12:53:02 BDT 2022","Sun Aug 28 12:53:10 BDT 2022","8363","E-commerce portal automation","E-commerce portal login","TestRunner.LoginTestRunner","TestRunner.LoginTestRunner","doLoginWithInvalidEmail","doLoginWithInvalidEmail",""
"passed","Sun Aug 28 12:53:10 BDT 2022","Sun Aug 28 12:53:14 BDT 2022","3888","E-commerce portal automation","E-commerce portal login","TestRunner.LoginTestRunner","TestRunner.LoginTestRunner","doLoginWithInvalidCreds","doLoginWithInvalidCreds",""
"passed","Sun Aug 28 12:52:24 BDT 2022","Sun Aug 28 12:52:26 BDT 2022","2778","E-commerce portal automation","E-commerce portal signup","TestRunner.SignupTestRunner","TestRunner.SignupTestRunner","OneMobileNum","Mandatory Fields Must be filled up for successful sign up",""
"passed","Sun Aug 28 12:53:29 BDT 2022","Sun Aug 28 12:53:29 BDT 2022","73","E-commerce portal automation","E-commerce portal login","TestRunner.LoginTestRunner","TestRunner.LoginTestRunner","visibleForgetPass","visibleForgetPass",""
"passed","Sun Aug 28 12:55:34 BDT 2022","Sun Aug 28 12:55:39 BDT 2022","5018","E-commerce portal automation","E-commerce portal checkout","TestRunner.CheckOutTestRunner","TestRunner.CheckOutTestRunner","confirmOrderButtonCheck","Confirm Order button is checked","After choosing payment by bankwire,Confirm order button is verified whether it is present or not and whether correct payment option is selected or not."
"passed","Sun Aug 28 12:55:27 BDT 2022","Sun Aug 28 12:55:34 BDT 2022","6519","E-commerce portal automation","E-commerce portal checkout","TestRunner.CheckOutTestRunner","TestRunner.CheckOutTestRunner","paymentPage","Terms of service checked and proceeded to payment","After checking the terms of service, Payment Checkout Page will appear which will have subheading of choosing paymemnt options"
"passed","Sun Aug 28 12:51:50 BDT 2022","Sun Aug 28 12:52:03 BDT 2022","12367","E-commerce portal automation","E-commerce portal signup","TestRunner.SignupTestRunner","TestRunner.SignupTestRunner","invalidFirstandLastName","Firstname and lastname cannot include any digit at last","User cannot give firstname and last name containing digits, should contain only alphabets,numbers can be in between the alphabets."
"passed","Sun Aug 28 12:54:06 BDT 2022","Sun Aug 28 12:54:08 BDT 2022","2725","E-commerce portal automation","E-commerce portal order","TestRunner.OrderTestRunner","TestRunner.OrderTestRunner","searchProduct","User can search product","User can search product successfully"
"passed","Sun Aug 28 12:54:12 BDT 2022","Sun Aug 28 12:54:15 BDT 2022","3446","E-commerce portal automation","E-commerce portal order","TestRunner.OrderTestRunner","TestRunner.OrderTestRunner","checkProductSumary","User can see product summary","User can view product summary before checkout"
"passed","Sun Aug 28 12:51:45 BDT 2022","Sun Aug 28 12:51:48 BDT 2022","3267","E-commerce portal automation","E-commerce portal signup","TestRunner.SignupTestRunner","TestRunner.SignupTestRunner","validEmailRegisterForm","After giving valid email,user will be redirecrted to registration form",""
"passed","Sun Aug 28 12:55:07 BDT 2022","Sun Aug 28 12:55:11 BDT 2022","3994","E-commerce portal automation","E-commerce portal checkout","TestRunner.CheckOutTestRunner","TestRunner.CheckOutTestRunner","updateButtonClicked","Address Update Button Clicked and taken to a address change form","After clicking billing address update button,it should be taken to a address update form page where there will be 'Your Addresses' subheadingand a Save button below the form"
